Timestamp (s), Power (W), Performance State
2024/04/10 16:23:02.245,  16.17,  P0
2024/04/10 16:23:02.297,  16.17,  P0
2024/04/10 16:23:02.349,  16.17,  P0
2024/04/10 16:23:02.414,  16.17,  P0
2024/04/10 16:23:02.456,  16.17,  P0
2024/04/10 16:23:02.496,  16.17,  P0
2024/04/10 16:23:02.535,  16.17,  P0
2024/04/10 16:23:02.574,  16.17,  P0
2024/04/10 16:23:02.615,  16.17,  P0
2024/04/10 16:23:02.667,  16.17,  P0
2024/04/10 16:23:02.707,  16.17,  P0
2024/04/10 16:23:02.748,  16.17,  P0
2024/04/10 16:23:02.789,  16.17,  P0
2024/04/10 16:23:02.840,  16.17,  P0
2024/04/10 16:23:02.881,  16.17,  P0
2024/04/10 16:23:02.921,  16.17,  P0
2024/04/10 16:23:02.972,  16.17,  P0
2024/04/10 16:23:03.013,  16.17,  P0
2024/04/10 16:23:03.067,  16.32,  P0
2024/04/10 16:23:03.119,  16.32,  P0
2024/04/10 16:23:03.159,  16.32,  P0
2024/04/10 16:23:03.198,  16.32,  P0
2024/04/10 16:23:03.238,  16.32,  P0
2024/04/10 16:23:03.277,  16.32,  P0
2024/04/10 16:23:03.317,  16.32,  P0
2024/04/10 16:23:03.369,  16.32,  P0
2024/04/10 16:23:03.408,  16.32,  P0
2024/04/10 16:23:03.448,  16.32,  P0
2024/04/10 16:23:03.487,  16.32,  P0
2024/04/10 16:23:03.527,  16.32,  P0
2024/04/10 16:23:03.581,  16.32,  P0
2024/04/10 16:23:03.623,  16.32,  P0
2024/04/10 16:23:03.663,  16.32,  P0
2024/04/10 16:23:03.702,  16.32,  P0
2024/04/10 16:23:03.741,  16.32,  P0
2024/04/10 16:23:03.782,  16.32,  P0
2024/04/10 16:23:03.822,  16.32,  P0
2024/04/10 16:23:03.862,  16.32,  P0
2024/04/10 16:23:03.901,  16.32,  P0
2024/04/10 16:23:03.941,  16.32,  P0
2024/04/10 16:23:03.994,  16.32,  P0
2024/04/10 16:23:04.046,  16.27,  P0
2024/04/10 16:23:04.087,  16.27,  P0
2024/04/10 16:23:04.128,  16.27,  P0
2024/04/10 16:23:04.169,  16.27,  P0
2024/04/10 16:23:04.208,  16.27,  P0
2024/04/10 16:23:04.248,  16.27,  P0
2024/04/10 16:23:04.362,  16.31,  P0
2024/04/10 16:23:04.422,  16.36,  P0
2024/04/10 16:23:04.469,  16.36,  P0
2024/04/10 16:23:04.515,  17.02,  P0
2024/04/10 16:23:04.564,  17.02,  P0
2024/04/10 16:23:04.609,  17.02,  P0
2024/04/10 16:23:04.653,  17.43,  P0
2024/04/10 16:23:04.698,  17.43,  P0
2024/04/10 16:23:04.758,  17.72,  P0
2024/04/10 16:23:04.804,  17.72,  P0
2024/04/10 16:23:04.859,  17.87,  P0
2024/04/10 16:23:04.904,  17.87,  P0
2024/04/10 16:23:04.960,  18.09,  P0
2024/04/10 16:23:05.005,  18.09,  P0
2024/04/10 16:23:05.048,  18.23,  P0
2024/04/10 16:23:05.091,  18.23,  P0
2024/04/10 16:23:05.133,  20.20,  P0
2024/04/10 16:23:05.177,  20.20,  P0
2024/04/10 16:23:05.225,  20.12,  P0
2024/04/10 16:23:05.268,  20.12,  P0
2024/04/10 16:23:05.323,  20.96,  P0
2024/04/10 16:23:05.366,  20.96,  P0
2024/04/10 16:23:05.410,  20.96,  P0
2024/04/10 16:23:05.454,  20.98,  P0
2024/04/10 16:23:05.497,  20.98,  P0
2024/04/10 16:23:05.556,  21.15,  P0
2024/04/10 16:23:05.604,  21.15,  P0
2024/04/10 16:23:05.647,  20.44,  P0
2024/04/10 16:23:05.702,  20.44,  P0
2024/04/10 16:23:05.757,  20.03,  P0
2024/04/10 16:23:05.805,  20.03,  P0
2024/04/10 16:23:05.847,  19.71,  P0
2024/04/10 16:23:05.902,  19.71,  P0
2024/04/10 16:23:05.945,  19.56,  P0
2024/04/10 16:23:06.000,  19.56,  P0
2024/04/10 16:23:06.045,  20.21,  P0
2024/04/10 16:23:06.088,  20.21,  P0
2024/04/10 16:23:06.142,  19.99,  P0
2024/04/10 16:23:06.196,  19.99,  P0
2024/04/10 16:23:06.243,  19.87,  P0
2024/04/10 16:23:06.286,  19.87,  P0
2024/04/10 16:23:06.329,  19.80,  P0
2024/04/10 16:23:06.372,  19.80,  P0
2024/04/10 16:23:06.414,  20.06,  P0
2024/04/10 16:23:06.457,  20.06,  P0
2024/04/10 16:23:06.516,  19.91,  P0
2024/04/10 16:23:06.565,  19.91,  P0
2024/04/10 16:23:06.621,  19.83,  P0
2024/04/10 16:23:06.675,  19.83,  P0
2024/04/10 16:23:06.718,  19.82,  P0
2024/04/10 16:23:06.764,  19.82,  P0
2024/04/10 16:23:06.808,  19.82,  P0
2024/04/10 16:23:06.851,  19.77,  P0
2024/04/10 16:23:06.894,  19.77,  P0
2024/04/10 16:23:06.938,  19.75,  P0
2024/04/10 16:23:06.983,  19.75,  P0
2024/04/10 16:23:07.026,  19.71,  P0
2024/04/10 16:23:07.070,  19.71,  P0
2024/04/10 16:23:07.113,  18.87,  P0
2024/04/10 16:23:07.172,  18.87,  P0
2024/04/10 16:23:07.215,  18.89,  P0
2024/04/10 16:23:07.270,  18.89,  P0
2024/04/10 16:23:07.312,  18.87,  P0
2024/04/10 16:23:07.360,  18.87,  P0
2024/04/10 16:23:07.402,  18.87,  P0
2024/04/10 16:23:07.445,  18.87,  P0
2024/04/10 16:23:07.487,  18.87,  P0
2024/04/10 16:23:07.542,  18.54,  P0
2024/04/10 16:23:07.585,  18.54,  P0
2024/04/10 16:23:07.628,  18.55,  P0
2024/04/10 16:23:07.670,  18.55,  P0
2024/04/10 16:23:07.712,  18.59,  P0
2024/04/10 16:23:07.771,  18.59,  P0
2024/04/10 16:23:07.814,  18.58,  P0
2024/04/10 16:23:07.857,  18.58,  P0
2024/04/10 16:23:07.916,  18.56,  P0
2024/04/10 16:23:07.963,  18.56,  P0
2024/04/10 16:23:08.005,  18.56,  P0
2024/04/10 16:23:08.048,  18.55,  P0
2024/04/10 16:23:08.091,  18.55,  P0
2024/04/10 16:23:08.133,  18.54,  P0
2024/04/10 16:23:08.177,  18.54,  P0
2024/04/10 16:23:08.223,  18.39,  P0
2024/04/10 16:23:08.279,  18.39,  P0
2024/04/10 16:23:08.323,  18.36,  P0
2024/04/10 16:23:08.365,  18.36,  P0
2024/04/10 16:23:08.407,  18.36,  P0
2024/04/10 16:23:08.462,  18.36,  P0
2024/04/10 16:23:08.517,  18.35,  P0
2024/04/10 16:23:08.563,  18.35,  P0
2024/04/10 16:23:08.620,  18.71,  P0
2024/04/10 16:23:08.663,  18.71,  P0
2024/04/10 16:23:08.706,  18.71,  P0
2024/04/10 16:23:08.769,  18.71,  P0
2024/04/10 16:23:08.838,  18.52,  P0
2024/04/10 16:23:08.897,  18.52,  P0
2024/04/10 16:23:08.942,  18.37,  P0
2024/04/10 16:23:08.982,  18.37,  P0
2024/04/10 16:23:09.023,  18.19,  P0
2024/04/10 16:23:09.064,  18.19,  P0
2024/04/10 16:23:09.104,  18.19,  P0
2024/04/10 16:23:09.144,  18.06,  P0
2024/04/10 16:23:09.185,  18.06,  P0
2024/04/10 16:23:09.226,  17.88,  P0
2024/04/10 16:23:09.267,  17.88,  P0
2024/04/10 16:23:09.308,  17.88,  P0
2024/04/10 16:23:09.348,  17.73,  P0
2024/04/10 16:23:09.388,  17.73,  P0
2024/04/10 16:23:09.441,  17.54,  P0
2024/04/10 16:23:09.482,  17.54,  P0
2024/04/10 16:23:09.535,  17.36,  P0
2024/04/10 16:23:09.581,  17.36,  P0
