mixbench (62eb83b)
------------------------ Device specifications ------------------------
Device:              NVIDIA A2
CUDA driver version: 12.40
GPU clock rate:      1770 MHz
Memory clock rate:   3125 MHz
Memory bus width:    128 bits
WarpSize:            32
L2 cache size:       2048 KB
Total global mem:    14878 MB
ECC enabled:         Yes
Compute Capability:  8.6
Total SPs:           1280 (10 MPs x 128 SPs/MP)
Compute throughput:  4531.20 GFlops (theoretical single precision FMAs)
Memory bandwidth:    200.03 GB/sec
-----------------------------------------------------------------------
Total GPU memory 15600910336, free 15537799168
Buffer size:          256MB
Block size:           1024
Running warmup:       no
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    3.39,    9.89,  39.55,      0.125,    1.52,   22.04, 176.29,      0.500,    0.77,   87.50, 175.00,     0.250,    0.76,   43.95, 175.79
            1,      0.750,    0.76,  131.77, 175.70,      0.375,    2.29,   43.98, 117.29,      1.500,    0.76,  263.84, 175.89,     0.750,    0.77,  131.42, 175.23
            2,      1.250,    0.76,  219.62, 175.70,      0.625,    3.67,   45.74,  73.19,      2.500,    0.76,  439.25, 175.70,     1.250,    0.77,  219.04, 175.23
            3,      1.750,    0.77,  306.24, 175.00,      0.875,    5.06,   46.41,  53.04,      3.500,    0.77,  612.49, 175.00,     1.750,    0.77,  306.59, 175.19
            4,      2.250,    0.77,  392.69, 174.53,      1.125,    6.45,   46.84,  41.64,      4.500,    0.77,  786.43, 174.76,     2.250,    0.77,  393.22, 174.76
            5,      2.750,    0.76,  483.82, 175.94,      1.375,    7.85,   47.04,  34.21,      5.500,    0.77,  955.03, 173.64,     2.750,    1.31,  282.04, 102.56
            6,      3.250,    0.77,  567.98, 174.76,      1.625,    9.24,   47.23,  29.06,      6.500,    0.77, 1125.78, 173.20,     3.250,    1.33,  328.95, 101.21
            7,      3.750,    0.77,  654.54, 174.54,      1.875,   10.63,   47.35,  25.25,      7.500,    0.78, 1293.47, 172.46,     3.750,    1.34,  374.63,  99.90
            8,      4.250,    0.78,  734.90, 172.92,      2.125,   12.02,   47.45,  22.33,      8.500,    0.79, 1448.78, 170.44,     4.250,    1.38,  412.63,  97.09
            9,      4.750,    0.77,  832.48, 175.26,      2.375,   13.42,   47.52,  20.01,      9.500,    0.79, 1604.62, 168.91,     4.750,    1.40,  454.12,  95.60
           10,      5.250,    0.77,  917.50, 174.76,      2.625,   14.80,   47.60,  18.14,     10.500,    0.80, 1753.19, 166.97,     5.250,    1.42,  494.74,  94.24
           11,      5.750,    0.77, 1002.21, 174.30,      2.875,   16.19,   47.66,  16.58,     11.500,    0.81, 1908.01, 165.91,     5.750,    1.45,  533.76,  92.83
           12,      6.250,    0.77, 1085.03, 173.61,      3.125,   17.59,   47.70,  15.26,     12.500,    0.83, 2017.73, 161.42,     6.250,    1.49,  561.87,  89.90
           13,      6.750,    0.77, 1170.29, 173.38,      3.375,   18.98,   47.74,  14.14,     13.500,    0.84, 2158.39, 159.88,     6.750,    1.53,  591.80,  87.67
           14,      7.250,    0.78, 1255.31, 173.15,      3.625,   20.37,   47.77,  13.18,     14.500,    0.86, 2265.25, 156.22,     7.250,    1.56,  625.59,  86.29
           15,      7.750,    0.78, 1331.61, 171.82,      3.875,   21.76,   47.80,  12.34,     15.500,    0.88, 2373.73, 153.14,     7.750,    1.58,  658.33,  84.95
           16,      8.250,    0.78, 1417.23, 171.79,      4.125,   23.16,   47.81,  11.59,     16.500,    0.89, 2488.71, 150.83,     8.250,    1.63,  679.66,  82.38
           17,      8.750,    0.79, 1493.33, 170.67,      4.375,   24.54,   47.85,  10.94,     17.500,    0.92, 2554.92, 146.00,     8.750,    1.66,  706.21,  80.71
           18,      9.250,    0.79, 1570.74, 169.81,      4.625,   25.93,   47.87,  10.35,     18.500,    0.93, 2655.89, 143.56,     9.250,    1.70,  729.49,  78.86
           20,     10.250,    0.80, 1718.02, 167.61,      5.125,   28.72,   47.91,   9.35,     20.500,    0.98, 2796.02, 136.39,    10.250,    1.78,  770.79,  75.20
           22,     11.250,    0.82, 1843.20, 163.84,      5.625,   31.50,   47.93,   8.52,     22.500,    1.05, 2888.46, 128.38,    11.250,    1.84,  818.75,  72.78
           24,     12.250,    0.84, 1955.93, 159.67,      6.125,   34.28,   47.96,   7.83,     24.500,    1.11, 2965.16, 121.03,    12.250,    1.93,  852.32,  69.58
           28,     14.250,    0.89, 2151.82, 151.00,      7.125,   39.85,   47.99,   6.74,     28.500,    1.25, 3069.48, 107.70,    14.250,    2.09,  915.58,  64.25
           32,     16.250,    0.94, 2312.62, 142.31,      8.125,   45.42,   48.02,   5.91,     32.500,    1.39, 3136.85,  96.52,    16.250,    2.24,  973.89,  59.93
           40,     20.250,    1.06, 2569.57, 126.89,     10.125,   56.56,   48.05,   4.75,     40.500,    1.69, 3223.08,  79.58,    20.250,    2.53, 1072.84,  52.98
           48,     24.250,    1.19, 2730.67, 112.60,     12.125,   67.68,   48.09,   3.97,     48.500,    1.99, 3273.43,  67.49,    24.250,    2.82, 1153.35,  47.56
           56,     28.250,    1.34, 2835.21, 100.36,     14.125,   78.82,   48.11,   3.41,     56.500,    2.28, 3325.36,  58.86,    28.250,    3.11, 1220.03,  43.19
           64,     32.250,    1.48, 2923.29,  90.64,     16.125,   89.95,   48.12,   2.98,     64.500,    2.67, 3247.77,  50.35,    32.250,    3.41, 1270.92,  39.41
           80,     40.250,    1.72, 3136.53,  77.93,     20.125,  112.22,   48.14,   2.39,     80.500,    3.17, 3413.59,  42.40,    40.250,    3.98, 1357.60,  33.73
           96,     48.250,    2.02, 3202.14,  66.37,     24.125,  134.49,   48.15,   2.00,     96.500,    3.76, 3443.63,  35.69,    48.250,    4.53, 1428.88,  29.61
          128,     64.250,    2.60, 3311.59,  51.54,     32.125,  179.02,   48.17,   1.50,    128.500,    4.97, 3469.94,  27.00,    64.250,    5.69, 1514.64,  23.57
          192,     96.250,    4.29, 3013.78,  31.31,     48.125,  268.09,   48.19,   1.00,    192.500,    7.55, 3421.67,  17.77,    96.250,    8.13, 1589.88,  16.52
          256,    128.250,    5.36, 3210.46,  25.03,     64.125,  357.16,   48.20,   0.75,    256.500,    9.75, 3530.77,  13.77,   128.250,   10.64, 1617.61,  12.61
          512,    256.250,    9.99, 3441.31,  13.43,    128.125,  713.42,   48.21,   0.38,    512.500,   19.09, 3604.16,   7.03,   256.250,   20.85, 1649.67,   6.44
         1024,    512.250,   19.67, 3495.32,   6.82,    256.125, 1425.94,   48.22,   0.19,   1024.500,   37.96, 3622.54,   3.54,   512.250,   41.37, 1661.97,   3.24
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
